index,time,S:London__all,S:Eyam__all,I:London__all,I:Eyam__all,obs_mean:Eyam__Kendall__inc,obs_mean:London__Creighton__inc,obs_real:Eyam__Kendall__inc,obs_real:London__Creighton__inc
163,92,366211,218,5663,14,57.6,35100,59.1256,35604.3
163,61,403077,274,7797,22,45,30938.4,58.1705,28218.9
163,31,443075,347,3813,0,2.7,11800.8,2.47443,13468
163,0,458437,347,1563,3,0,0,0,0
164,245,375009,345,0,0,0,6.3,0,7.67294
164,214,375012,345,4,0,0,61.2,0,61.7747
164,184,374256,345,35,0,0,573.3,0,632.431
164,153,378651,345,129,0,0,2630.7,0,2321.32
164,123,381590,345,1408,0,0,13412.7,0,14580.8
164,92,397835,345,3511,0,0,23322.6,0,23152.8
164,61,421334,345,5049,0,0,19777.5,0,21685.7
164,31,445209,345,3149,0,4.5,10477.8,3.99873,11527.5
164,0,458443,347,1557,3,0,0,0,0
165,245,372384,346,0,0,0,2.7,0,2.25946
165,214,372385,346,2,0,0,47.7,0,48.8732
165,184,377117,345,29,0,0,489.6,0,495.305
165,153,376189,346,245,0,0,3119.4,0,3116.54
165,123,382873,346,1310,0,0,12859.2,0,15129.2
165,92,393036,346,3835,0,0,24405.3,0,23350.1
165,61,417589,346,6108,0,0,21700.8,0,22535.7
165,31,444489,346,3320,0,3.6,10971.9,3.75657,13293.8
165,0,458438,347,1562,3,0,0,0,0
166,245,372292,346,0,0,0,0,0,0
166,214,372292,346,0,0,0,18,0,18.4893
166,184,372299,346,13,0,0,507.6,0,491.31
166,153,381321,346,254,0,0,3242.7,0,3532.89
166,123,380739,346,1217,0,0,12494.7,0,11420.1
166,92,386776,346,4512,0,0,28836,0,25953.7
166,61,422557,346,4862,0,0,18800.1,0,18056.5
166,31,444479,345,3381,0,4.5,10926,3.68823,12237.4
166,0,458437,347,1563,3,0,0,0,0
167,245,377428,346,2,0,0,11.7,0,8.59228
167,214,377440,346,3,0,0,72.9,0,76.7683
167,184,375138,346,21,0,0,531.9,0,485.439
167,153,365293,346,239,0,0,4004.1,0,3261.12
167,123,381861,346,1104,0,0,11601.9,0,11329.4
167,92,391091,346,4011,0,0,24661.8,0,29168.6
167,61,423110,346,4768,0,0,18896.4,0,20067.1
167,31,445754,346,3120,0,3.6,10013.4,3.60873,9688.34
167,0,458444,347,1556,3,0,0,0,0
168,245,378401,347,0,0,0,0,0,0
168,214,378401,347,0,0,0,22.5,0,29.4591
168,184,379437,347,26,0,0,519.3,0,530.303
168,153,376445,347,186,0,0,3071.7,0,3134.16
168,123,377400,347,1315,0,0,14571,0,14460.5
168,92,399051,347,3277,0,0,21343.5,0,22855.7
168,61,418370,347,6037,0,0,21294,0,23556.6
168,31,440473,346,4377,0,3.6,13635,4.39631,13277.5
168,0,458442,347,1558,3,0,0,0,0
169,245,360051,135,0,0,0,0.9,0,0.496863
169,214,360052,135,0,0,0.9,28.8,1.5,29.8239
169,184,364880,106,28,1,18.9,522,17.6228,529.168
169,153,365646,126,172,4,24.3,3028.5,18.9115,3106.36
169,123,367004,169,1402,3,73.8,14043.6,76.9048,14666.3
169,92,382107,247,3977,5,55.8,27311.4,57.436,21300.3
169,61,409893,296,6537,18,27,26495.1,22.0298,28222.9
169,31,444774,346,3040,0,3.6,10967.4,3.85261,11722.4
169,0,458440,347,1560,3,0,0,0,0
170,245,372434,345,4,0,0,19.8,0,17.1747
170,214,372451,345,9,0,0,52.2,0,62.8173
170,184,371630,345,31,0,0,486,0,540.848
170,153,373118,345,162,0,0,3340.8,0,2662.52
170,123,372863,346,1320,0,0,13797.9,0,15923.5
170,92,391253,346,3461,0,0,24412.5,0,27041.2
170,61,421968,347,4732,0,0,19453.5,0,20147.9
170,31,445148,347,3167,0,2.7,10516.5,3.12252,10694.9
170,0,458440,347,1560,3,0,0,0,0
171,245,375795,345,0,0,0,2.7,0,2.01577
171,214,375796,345,2,0,0,33.3,0,37.264
171,184,370127,345,35,0,0,521.1,0,572.317
171,153,375406,345,232,0,0,2853.9,0,3084.49
171,123,384256,345,1160,0,0,11909.7,0,10759.1
171,92,386468,344,3921,0,0,25668.9,0,24454
171,61,420936,345,4672,0,0,19808.1,0,19982.7
171,31,442588,346,3808,0,3.6,12243.6,4.47753,11056.2
171,0,458442,347,1558,3,0,0,0,0
172,245,375864,345,0,0,0,0,0,0
172,214,375864,345,0,0,0,35.1,0,36.182
172,184,376508,345,46,0,0,540.9,0,530.603
172,153,376769,345,206,0,0,3217.5,0,3281.58
172,123,384575,345,1151,0,0,12063.6,0,12538.8
172,92,397108,345,3410,0,0,22797,0,24988.4
172,61,421556,345,4778,0,0,19418.4,0,17042.9
172,31,444947,345,2963,0,4.5,10881,5.83947,9137.37
172,0,458442,347,1558,3,0,0,0,0
173,245,344756,70,0,5,9,10.8,9.43459,10.9321
173,214,347092,90,1,0,0.9,32.4,0.77285,32.4287
173,184,353128,87,21,0,19.8,487.8,22.6131,510.477
173,153,348027,113,250,2,22.5,3614.4,25.6825,4143.58
173,123,355208,124,1331,2,68.4,14131.8,69.58,13908.9
173,92,365739,223,5971,2,54,33910.2,51.5506,33795.9
173,61,401264,262,8124,23,52.2,32139,55.0538,27851.7
173,31,443424,345,3471,0,4.5,11794.5,3.88874,10049.9
173,0,458439,347,1561,3,0,0,0,0
174,245,376345,345,0,0,0,0,0,0
174,214,376345,345,0,0,0,46.8,0,47.1802
174,184,375724,345,27,0,0,545.4,0,565.22
174,153,376204,345,162,0,0,2890.8,0,3231.43
174,123,368285,345,1310,0,0,13973.4,0,14421
174,92,387251,345,4840,0,0,26733.6,0,25943.4
174,61,414245,346,6452,0,0,23328,0,20379.7
174,31,439812,346,4840,0,3.6,13813.2,4.02846,11841.8
174,0,458441,347,1559,3,0,0,0,0
175,245,377205,99,0,0,13.5,0,15.8918,0
175,214,377216,114,0,0,0.9,21.6,0.620179,18.9795
175,184,377212,115,30,0,19.8,544.5,21.4772,557.61
175,153,377619,131,170,2,28.8,2965.5,30.3573,2790.18
175,123,379220,163,1226,9,82.8,12854.7,81.9349,12056.2
175,92,392305,243,4048,14,55.8,24722.1,60.1122,23942.8
175,61,416918,310,5754,12,18.9,22850.1,22.0429,24202.6
175,31,443708,345,3437,0,4.5,11569.5,4.86139,13304.8
175,0,458441,347,1559,3,0,0,0,0
176,245,376016,346,0,0,0,16.2,0,16.4244
176,214,376027,346,7,0,0,56.7,0,47.3381
176,184,376070,346,27,0,0,523.8,0,425.058
176,153,383571,346,214,0,0,3280.5,0,3480.89
176,123,385533,346,1098,0,0,11574.9,0,10286.7
176,92,390718,346,4521,0,0,26522.1,0,24970.3
176,61,423951,346,4389,0,0,17861.4,0,20231.3
176,31,445083,346,3103,0,3.6,10632.6,4.23036,9274.67
176,0,458441,347,1559,3,0,0,0,0
177,245,365279,344,0,0,0,0,0,0
177,214,365279,344,0,0,0,54.9,0,62.3378
177,184,364449,343,25,0,0,506.7,0,526.797
177,153,372844,344,211,0,0,3403.8,0,3284.7
177,123,376863,344,1223,0,0,12938.4,0,10687.3
177,92,388322,344,4140,0,0,25766.1,0,26889.2
177,61,417694,344,5266,0,0,21419.1,0,22458.9
177,31,443657,344,3680,0,5.4,11396.7,4.84871,9472.78
177,0,458442,347,1558,3,0,0,0,0
178,245,370234,124,0,0,0,7.2,0,6.45576
178,214,370285,121,0,0,0.9,23.4,1.16285,21.6599
178,184,369229,137,19,0,13.5,528.3,14.5783,512.837
178,153,369292,119,165,3,23.4,3096.9,21.1466,3124.05
178,123,371522,136,1376,12,82.8,14704.2,78.1674,12763.5
